dishname,price,shopid
麻辣牛肉拌面/粉,16,604
麻辣猪肚鸡,17.6,308
麻辣米线,10,105
麻辣豆腐,2.2,102
"麻辣香锅 荤菜类（ 元/50g）",3,610
"麻辣香锅 豆制品类（ 元/50g）",1.5,610
"麻辣香锅 青菜类（ 元/50g）",1.5,610
麻辣鸡丁面/粉,12,203
麻辣鸡丝面/粉,10,203
麻辣鸡杂面/粉,12,203
麻辣鸡片,4,501
麻辣鸡胗汤面/粉,13,604
麻辣鸭血豆腐,3.3,301
麻酱卤蛋热米皮,12,107
麻酱拌面/粉,7,604
麻酱热干面,8,203
麻酱鸡丝拌面,11,403
黄焖土豆鸡块,5.5,102
黄焖狮子头,6.6,301
黄瓜炒蛋,3,501
黄金炸鸡排咖喱饭,16,401
黄金薯条,6,407
黑椒五花肉拌饭,18,405
黑椒培根拌饭,15,405
黑椒小酥肉拌饭,16,405
黑椒牛肉炒米皮,17,107
黑椒脆皮鸡,16.5,308
黑椒里脊,17.6,309
黑椒香肉拌饭,14,405
黑椒鸡块,16.5,310
黑椒鸡块,6,401
黑椒鸡块,5,501
黑椒鸡块咖喱饭,15,401
黑椒鸡扒,14,608
黑椒鸡扒饭,17.6,309
黑椒鸡排拌面/粉,14,604
黑椒鸡排汤面/粉,14,604
黑椒鸡茶泡饭,12,607
黑米粥,2,201
黑米饭团,3.5,101
黑米饭团,3.5,201
黑胡椒牛肉意面,19,401
黑芝麻汤圆,6,105
黑芝麻汤圆,10,205
